row_index,column,original_value,new_value,method
256,metrics_path,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/proposed/chilli_lite_gfnet/pairwise/B_to_C/seed_42/metrics.json,proposed/chilli_lite_gfnet/pairwise/B_to_C/seed_42/metrics.json,anchor
257,metrics_path,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/proposed/chilli_lite_gfnet/pairwise/B_to_A/seed_42/metrics.json,proposed/chilli_lite_gfnet/pairwise/B_to_A/seed_42/metrics.json,anchor
258,metrics_path,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/proposed/chilli_lite_gfnet/pairwise/A_to_C/seed_42/metrics.json,proposed/chilli_lite_gfnet/pairwise/A_to_C/seed_42/metrics.json,anchor
259,metrics_path,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/proposed/chilli_lite_gfnet/pairwise/C_to_B/seed_42/metrics.json,proposed/chilli_lite_gfnet/pairwise/C_to_B/seed_42/metrics.json,anchor
260,metrics_path,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/proposed/chilli_lite_gfnet/pairwise/A_to_B/seed_42/metrics.json,proposed/chilli_lite_gfnet/pairwise/A_to_B/seed_42/metrics.json,anchor
261,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_45/fold_04/metrics.json,proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_45/fold_04/metrics.json,anchor
262,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_43/fold_02/metrics.json,proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_43/fold_02/metrics.json,anchor
263,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_46/fold_05/metrics.json,proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_46/fold_05/metrics.json,anchor
264,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_42/fold_01/metrics.json,proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_42/fold_01/metrics.json,anchor
265,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_44/fold_03/metrics.json,proposed/chilli_lite_gfnet/pooled_cv/A_plus_B_plus_C_pooled/seed_44/fold_03/metrics.json,anchor
266,metrics_path,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/multisource/A_plus_C_to_B/seed_42/metrics.json,proposed/chilli_lite_gfnet/multisource/A_plus_C_to_B/seed_42/metrics.json,anchor
267,metrics_path,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/multisource/B_plus_C_to_A/seed_42/metrics.json,proposed/chilli_lite_gfnet/multisource/B_plus_C_to_A/seed_42/metrics.json,anchor
268,metrics_path,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/multisource/A_plus_B_to_C/seed_42/metrics.json,proposed/chilli_lite_gfnet/multisource/A_plus_B_to_C/seed_42/metrics.json,anchor
