image_id,relative_path,absolute_path,file_name,class_name,class_id
16,Dry chili/Dry chili00017.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00017.JPG,Dry chili00017.JPG,Dry Chili,0
17,Dry chili/Dry chili00018.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00018.JPG,Dry chili00018.JPG,Dry Chili,0
18,Dry chili/Dry chili00019.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00019.JPG,Dry chili00019.JPG,Dry Chili,0
19,Dry chili/Dry chili00020.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00020.JPG,Dry chili00020.JPG,Dry Chili,0
20,Dry chili/Dry chili00021.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00021.JPG,Dry chili00021.JPG,Dry Chili,0
21,Dry chili/Dry chili00022.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00022.JPG,Dry chili00022.JPG,Dry Chili,0
22,Dry chili/Dry chili00023.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00023.JPG,Dry chili00023.JPG,Dry Chili,0
23,Dry chili/Dry chili00024.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00024.JPG,Dry chili00024.JPG,Dry Chili,0
24,Dry chili/Dry chili00025.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00025.JPG,Dry chili00025.JPG,Dry Chili,0
25,Dry chili/Dry chili00026.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00026.JPG,Dry chili00026.JPG,Dry Chili,0
26,Dry chili/Dry chili00027.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00027.JPG,Dry chili00027.JPG,Dry Chili,0
27,Dry chili/Dry chili00028.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00028.JPG,Dry chili00028.JPG,Dry Chili,0
28,Dry chili/Dry chili00029.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00029.JPG,Dry chili00029.JPG,Dry Chili,0
29,Dry chili/Dry chili00030.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00030.JPG,Dry chili00030.JPG,Dry Chili,0
30,Dry chili/Dry chili00031.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00031.JPG,Dry chili00031.JPG,Dry Chili,0
31,Dry chili/Dry chili00032.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00032.JPG,Dry chili00032.JPG,Dry Chili,0
32,Dry chili/Dry chili00033.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00033.JPG,Dry chili00033.JPG,Dry Chili,0
33,Dry chili/Dry chili00034.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00034.JPG,Dry chili00034.JPG,Dry Chili,0
34,Dry chili/Dry chili00035.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00035.JPG,Dry chili00035.JPG,Dry Chili,0
35,Dry chili/Dry chili00036.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00036.JPG,Dry chili00036.JPG,Dry Chili,0
36,Dry chili/Dry chili00037.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00037.JPG,Dry chili00037.JPG,Dry Chili,0
37,Dry chili/Dry chili00038.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00038.JPG,Dry chili00038.JPG,Dry Chili,0
38,Dry chili/Dry chili00039.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00039.JPG,Dry chili00039.JPG,Dry Chili,0
39,Dry chili/Dry chili00040.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00040.JPG,Dry chili00040.JPG,Dry Chili,0
40,Dry chili/Dry chili00041.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00041.JPG,Dry chili00041.JPG,Dry Chili,0
41,Dry chili/Dry chili00042.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00042.JPG,Dry chili00042.JPG,Dry Chili,0
42,Dry chili/Dry chili00043.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00043.JPG,Dry chili00043.JPG,Dry Chili,0
43,Dry chili/Dry chili00044.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00044.JPG,Dry chili00044.JPG,Dry Chili,0
44,Dry chili/Dry chili00045.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00045.JPG,Dry chili00045.JPG,Dry Chili,0
45,Dry chili/Dry chili00046.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00046.JPG,Dry chili00046.JPG,Dry Chili,0
46,Dry chili/Dry chili00047.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00047.JPG,Dry chili00047.JPG,Dry Chili,0
47,Dry chili/Dry chili00048.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00048.JPG,Dry chili00048.JPG,Dry Chili,0
48,Dry chili/Dry chili00049.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00049.JPG,Dry chili00049.JPG,Dry Chili,0
49,Dry chili/Dry chili00050.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00050.JPG,Dry chili00050.JPG,Dry Chili,0
50,Dry chili/Dry chili00051.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00051.JPG,Dry chili00051.JPG,Dry Chili,0
51,Dry chili/Dry chili00052.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00052.JPG,Dry chili00052.JPG,Dry Chili,0
52,Dry chili/Dry chili00053.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00053.JPG,Dry chili00053.JPG,Dry Chili,0
53,Dry chili/Dry chili00054.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00054.JPG,Dry chili00054.JPG,Dry Chili,0
54,Dry chili/Dry chili00055.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00055.JPG,Dry chili00055.JPG,Dry Chili,0
55,Dry chili/Dry chili00056.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00056.JPG,Dry chili00056.JPG,Dry Chili,0
56,Dry chili/Dry chili00057.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00057.JPG,Dry chili00057.JPG,Dry Chili,0
57,Dry chili/Dry chili00058.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00058.JPG,Dry chili00058.JPG,Dry Chili,0
58,Dry chili/Dry chili00059.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00059.JPG,Dry chili00059.JPG,Dry Chili,0
59,Dry chili/Dry chili00060.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00060.JPG,Dry chili00060.JPG,Dry Chili,0
60,Dry chili/Dry chili00061.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00061.JPG,Dry chili00061.JPG,Dry Chili,0
61,Dry chili/Dry chili00062.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00062.JPG,Dry chili00062.JPG,Dry Chili,0
62,Dry chili/Dry chili00063.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00063.JPG,Dry chili00063.JPG,Dry Chili,0
63,Dry chili/Dry chili00064.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00064.JPG,Dry chili00064.JPG,Dry Chili,0
64,Dry chili/Dry chili00065.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00065.JPG,Dry chili00065.JPG,Dry Chili,0
65,Dry chili/Dry chili00066.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00066.JPG,Dry chili00066.JPG,Dry Chili,0
66,Dry chili/Dry chili00067.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00067.JPG,Dry chili00067.JPG,Dry Chili,0
67,Dry chili/Dry chili00068.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00068.JPG,Dry chili00068.JPG,Dry Chili,0
68,Dry chili/Dry chili00069.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00069.JPG,Dry chili00069.JPG,Dry Chili,0
69,Dry chili/Dry chili00070.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00070.JPG,Dry chili00070.JPG,Dry Chili,0
70,Dry chili/Dry chili00071.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00071.JPG,Dry chili00071.JPG,Dry Chili,0
71,Dry chili/Dry chili00072.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00072.JPG,Dry chili00072.JPG,Dry Chili,0
72,Dry chili/Dry chili00073.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00073.JPG,Dry chili00073.JPG,Dry Chili,0
73,Dry chili/Dry chili00074.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00074.JPG,Dry chili00074.JPG,Dry Chili,0
74,Dry chili/Dry chili00075.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00075.JPG,Dry chili00075.JPG,Dry Chili,0
75,Dry chili/Dry chili00076.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00076.JPG,Dry chili00076.JPG,Dry Chili,0
76,Dry chili/Dry chili00077.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00077.JPG,Dry chili00077.JPG,Dry Chili,0
77,Dry chili/Dry chili00078.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00078.JPG,Dry chili00078.JPG,Dry Chili,0
78,Dry chili/Dry chili00079.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00079.JPG,Dry chili00079.JPG,Dry Chili,0
79,Dry chili/Dry chili00080.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00080.JPG,Dry chili00080.JPG,Dry Chili,0
80,Dry chili/Dry chili00081.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00081.JPG,Dry chili00081.JPG,Dry Chili,0
81,Dry chili/Dry chili00082.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00082.JPG,Dry chili00082.JPG,Dry Chili,0
82,Dry chili/Dry chili00083.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00083.JPG,Dry chili00083.JPG,Dry Chili,0
83,Dry chili/Dry chili00084.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00084.JPG,Dry chili00084.JPG,Dry Chili,0
84,Dry chili/Dry chili00085.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00085.JPG,Dry chili00085.JPG,Dry Chili,0
85,Dry chili/Dry chili00086.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00086.JPG,Dry chili00086.JPG,Dry Chili,0
86,Dry chili/Dry chili00087.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00087.JPG,Dry chili00087.JPG,Dry Chili,0
87,Dry chili/Dry chili00088.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00088.JPG,Dry chili00088.JPG,Dry Chili,0
88,Dry chili/Dry chili00089.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00089.JPG,Dry chili00089.JPG,Dry Chili,0
89,Dry chili/Dry chili00090.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00090.JPG,Dry chili00090.JPG,Dry Chili,0
90,Dry chili/Dry chili00091.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00091.JPG,Dry chili00091.JPG,Dry Chili,0
91,Dry chili/Dry chili00092.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00092.JPG,Dry chili00092.JPG,Dry Chili,0
92,Dry chili/Dry chili00093.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00093.JPG,Dry chili00093.JPG,Dry Chili,0
93,Dry chili/Dry chili00094.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00094.JPG,Dry chili00094.JPG,Dry Chili,0
94,Dry chili/Dry chili00095.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00095.JPG,Dry chili00095.JPG,Dry Chili,0
95,Dry chili/Dry chili00096.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00096.JPG,Dry chili00096.JPG,Dry Chili,0
96,Dry chili/Dry chili00097.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00097.JPG,Dry chili00097.JPG,Dry Chili,0
97,Dry chili/Dry chili00098.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00098.JPG,Dry chili00098.JPG,Dry Chili,0
98,Dry chili/Dry chili00099.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00099.JPG,Dry chili00099.JPG,Dry Chili,0
99,Dry chili/Dry chili00100.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00100.JPG,Dry chili00100.JPG,Dry Chili,0
100,Dry chili/Dry chili00101.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00101.JPG,Dry chili00101.JPG,Dry Chili,0
101,Dry chili/Dry chili00102.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00102.JPG,Dry chili00102.JPG,Dry Chili,0
102,Dry chili/Dry chili00103.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00103.JPG,Dry chili00103.JPG,Dry Chili,0
103,Dry chili/Dry chili00104.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00104.JPG,Dry chili00104.JPG,Dry Chili,0
104,Dry chili/Dry chili00105.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00105.JPG,Dry chili00105.JPG,Dry Chili,0
105,Dry chili/Dry chili00106.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00106.JPG,Dry chili00106.JPG,Dry Chili,0
106,Dry chili/Dry chili00107.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00107.JPG,Dry chili00107.JPG,Dry Chili,0
107,Dry chili/Dry chili00108.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00108.JPG,Dry chili00108.JPG,Dry Chili,0
108,Dry chili/Dry chili00109.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00109.JPG,Dry chili00109.JPG,Dry Chili,0
109,Dry chili/Dry chili00110.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00110.JPG,Dry chili00110.JPG,Dry Chili,0
110,Dry chili/Dry chili00111.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00111.JPG,Dry chili00111.JPG,Dry Chili,0
111,Dry chili/Dry chili00112.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00112.JPG,Dry chili00112.JPG,Dry Chili,0
112,Dry chili/Dry chili00113.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00113.JPG,Dry chili00113.JPG,Dry Chili,0
113,Dry chili/Dry chili00114.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00114.JPG,Dry chili00114.JPG,Dry Chili,0
114,Dry chili/Dry chili00115.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00115.JPG,Dry chili00115.JPG,Dry Chili,0
115,Dry chili/Dry chili00116.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00116.JPG,Dry chili00116.JPG,Dry Chili,0
116,Dry chili/Dry chili00117.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00117.JPG,Dry chili00117.JPG,Dry Chili,0
117,Dry chili/Dry chili00118.JPG,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/Dry chili/Dry chili00118.JPG,Dry chili00118.JPG,Dry Chili,0
