path,class,label,source_group,dataset_mode,grouping_strategy
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_bright_21.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_flipped_12.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_flipped_18.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_rotated_13.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_rotated_19.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_sheared_17.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_sheared_23.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_shifted_14.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_shifted_20.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_zoomed_16.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_zoomed_1979.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00002_zoomed_22.jpg,Bacterial Spot,0,class0::bacterial_spot00002,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_bright_1916.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_bright_27.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_bright_33.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_flipped_24.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_flipped_30.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_rotated_25.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_rotated_31.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_sheared_29.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_sheared_35.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_shifted_26.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_shifted_32.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_zoomed_28.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00003_zoomed_34.jpg,Bacterial Spot,0,class0::bacterial_spot00003,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_bright_39.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_bright_45.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_flipped_1965.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_flipped_36.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_flipped_42.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_rotated_37.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_rotated_43.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_sheared_41.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_sheared_47.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_shifted_38.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_shifted_44.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_zoomed_40.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00004_zoomed_46.jpg,Bacterial Spot,0,class0::bacterial_spot00004,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00005_bright_51.jpg,Bacterial Spot,0,class0::bacterial_spot00005,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00005_bright_57.jpg,Bacterial Spot,0,class0::bacterial_spot00005,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00005_flipped_48.jpg,Bacterial Spot,0,class0::bacterial_spot00005,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00005_flipped_54.jpg,Bacterial Spot,0,class0::bacterial_spot00005,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00005_rotated_49.jpg,Bacterial Spot,0,class0::bacterial_spot00005,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00005_rotated_55.jpg,Bacterial Spot,0,class0::bacterial_spot00005,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00005_sheared_53.jpg,Bacterial Spot,0,class0::bacterial_spot00005,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00005_sheared_59.jpg,Bacterial Spot,0,class0::bacterial_spot00005,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00005_shifted_50.jpg,Bacterial Spot,0,class0::bacterial_spot00005,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00005_shifted_56.jpg,Bacterial Spot,0,class0::bacterial_spot00005,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00005_zoomed_52.jpg,Bacterial Spot,0,class0::bacterial_spot00005,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00005_zoomed_58.jpg,Bacterial Spot,0,class0::bacterial_spot00005,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_bright_63.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_bright_69.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_flipped_60.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_flipped_66.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_rotated_61.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_rotated_67.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_sheared_1956.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_sheared_1985.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_sheared_65.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_sheared_71.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_shifted_62.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_shifted_68.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_zoomed_64.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00006_zoomed_70.jpg,Bacterial Spot,0,class0::bacterial_spot00006,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00007_bright_75.jpg,Bacterial Spot,0,class0::bacterial_spot00007,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00007_bright_81.jpg,Bacterial Spot,0,class0::bacterial_spot00007,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00007_flipped_72.jpg,Bacterial Spot,0,class0::bacterial_spot00007,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00007_flipped_78.jpg,Bacterial Spot,0,class0::bacterial_spot00007,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00007_rotated_73.jpg,Bacterial Spot,0,class0::bacterial_spot00007,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00007_rotated_79.jpg,Bacterial Spot,0,class0::bacterial_spot00007,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00007_sheared_77.jpg,Bacterial Spot,0,class0::bacterial_spot00007,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00007_sheared_83.jpg,Bacterial Spot,0,class0::bacterial_spot00007,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00007_shifted_74.jpg,Bacterial Spot,0,class0::bacterial_spot00007,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00007_shifted_80.jpg,Bacterial Spot,0,class0::bacterial_spot00007,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00007_zoomed_76.jpg,Bacterial Spot,0,class0::bacterial_spot00007,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00007_zoomed_82.jpg,Bacterial Spot,0,class0::bacterial_spot00007,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00008_bright_87.jpg,Bacterial Spot,0,class0::bacterial_spot00008,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00008_bright_93.jpg,Bacterial Spot,0,class0::bacterial_spot00008,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00008_flipped_84.jpg,Bacterial Spot,0,class0::bacterial_spot00008,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00008_flipped_90.jpg,Bacterial Spot,0,class0::bacterial_spot00008,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00008_rotated_85.jpg,Bacterial Spot,0,class0::bacterial_spot00008,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00008_rotated_91.jpg,Bacterial Spot,0,class0::bacterial_spot00008,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00008_sheared_89.jpg,Bacterial Spot,0,class0::bacterial_spot00008,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00008_sheared_95.jpg,Bacterial Spot,0,class0::bacterial_spot00008,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00008_shifted_86.jpg,Bacterial Spot,0,class0::bacterial_spot00008,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00008_shifted_92.jpg,Bacterial Spot,0,class0::bacterial_spot00008,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00008_zoomed_88.jpg,Bacterial Spot,0,class0::bacterial_spot00008,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00008_zoomed_94.jpg,Bacterial Spot,0,class0::bacterial_spot00008,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_bright_105.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_bright_99.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_flipped_102.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_flipped_1962.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_flipped_96.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_rotated_103.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_rotated_97.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_sheared_101.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_sheared_107.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_shifted_104.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_shifted_98.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_zoomed_100.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_zoomed_106.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_zoomed_1901.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00009_zoomed_1928.jpg,Bacterial Spot,0,class0::bacterial_spot00009,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_bright_111.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_bright_117.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_flipped_108.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_flipped_114.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_rotated_109.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_rotated_115.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_rotated_1941.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_sheared_113.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_sheared_119.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_shifted_110.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_shifted_116.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_zoomed_112.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_zoomed_118.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
/home/eecommulab/Documents/Po/chili_disease/Chili Leaf Disease Augmented Dataset/Bacterial Spot/Bacterial Spot00010_zoomed_1966.jpg,Bacterial Spot,0,class0::bacterial_spot00010,augmented,known_aug_marker
